state,ICU_prob
AC,0.04574252015159816
AL,0.0558278083681379
AP,0.04463048157693499
AM,0.04594782107339044
BA,0.06127145806441934
CE,0.060685605589795084
DF,0.05882890610002274
ES,0.06398876146269783
GO,0.05976682059368396
MA,0.0524022993287885
MT,0.056549468269138065
MS,0.06056340121748676
MG,0.06821954526502225
PA,0.05005163653979031
PB,0.06278539847601439
PR,0.06656472591440013
PE,0.0605070406044584
PI,0.059275753902295766
RJ,0.0702202231013379
RN,0.06177111481778582
RS,0.07310569113662442
RO,0.05381186110461685
RR,0.04549194605034055
SC,0.06625891037327535
SP,0.0671175371224295
SE,0.0570404953446093
TO,0.0546031273109603
