% beneficiados DRS;% beneficiados município;(%) população +60 anos DRS (2019);Benefiados Bolsa-família DRS;Benefiados Bolsa-família Municípios;Bolsa Família (Fev. 2020);Bolsa Família per capita (Fev. 2020);Bolsa família per capita DRS (2019);Casos Confirmados;Simulador_DRS;Simulador_DRS_criterios_Dr.Paulo;Click_Baixar;Click_view;Seleciona indicador testagem;Is_UF;Cidade;Data1;DRS (Output);DRS (Sheet4);DRS Nome;DRS Numero;DRS;Data da Notificacao;Data;Densidade Demográfica (2010);Densidade Demográfica (2019);Densidade demográfica DRS (2019);Esgotamento Sanitário (2010);Estado;F1;Faixa etária +60 anos (% da pop.);Grupo de Taxa de ocupação - Enfermaria por DRS;Grupo de Taxa de ocupação - Enfermaria;Grupo de Taxa de ocupação - UTI por DRS;Grupo de Taxa de ocupação - UTI;Leitos livres - Enfermaria;Leitos livres - UTI;Leitos livres CNES - Enfermaria;Leitos livres CNES - UTI;Leitos livres não covid - Enfermaria;Leitos livres não covid - UTI;Leitos ocupados declarados - Enfermaria;Leitos ocupados declarados - UTI;Leitos ocupados declarados não covid - Enfermaria;Leitos ocupados declarados não covid - UTI;Municip_compat;Municipio & UF (group);Municipio;Município;Município ajust;Média internações (ult. 7 dias)/(ult. 8-14 dias) por DRS;Média internações (ult. 7 dias)/(ult. 8-14 dias);Média novos casos por 100k hab;Negativo;Negativo Acc;Número de registros;Obitos Confirmados;Pib (2019);Pib Sp (2019);PIB per capita por DRS (2019);Pop Drs;Positivo;Positivo Acc;Positivo Por 1M;Positivo Por Casos;Positivo Por Testes;Ppc (2017);População (2010);População (2019) (Output);População (2019);População +60 anos (2019);População DRS;Enfermaria declaradas;UTIs declaradas;Quantidade de leitos em Enfermaria cadastrados no CNES;Quantidade de leitos em UTI cadastrados no CNES;Queda Sustentada;Semana -1 por DRS;Semana -1;Semana -2 por DRS;Semana -2;Semana -3 por DRS;Semana -3;Semana 0 por DRS;Semana 0;Simulador_DRS (copy);Sum of Pacientes Enfermaria ou Retaguarda PS - Confirmados;Sum of Pacientes Enfermaria ou Retaguarda PS - Suspeitos;Sum of Pacientes UTI - Confirmados;Sum of Pacientes UTI - Suspeitos;Enf. destinadas para COVID-19;UTI destinadas para COVID-19;Sum of Total de Leitos Disponiveis - Enfermaria;Sum of Total de Leitos Disponiveis - UTI;Teste Por 1M;Teste Por Casos;Total;Total Acc;Taxa de Isolamento Semanal;Taxa de Isolamento;Taxa de ocupação - Enfermaria por DRS;Taxa de ocupação - Enfermaria;Taxa de ocupação - UTI por DRS;Taxa de ocupação - UTI;Taxa de ocupação CNES - Enfermaria;Taxa de ocupação CNES - UTI;Taxa de ocupação declarados - Enfermaria;Taxa de ocupação declarados - UTI;Uf (Ibge!Sp);UF (Sheet1);UF;mean_last_3_weeks;mean_last_7_days;Área (Km2 2019)
0,030660011;0,050645856;0,177918075;35232,4;564,6;124422;11,160925727;5,254219349;254;Verde;Amarelo;Baixar;View;808,4363;Verdadeiro;Bernardino De Campos;2020-05-17;Marília;Marília;Marília;9;Marília;21/05/2020;20/05/2020;44,12;45,647309513;55,059259268;92,9;SP;25598;0,213442975;até 40%;0%;até 40%;0%;6;0;0;18;0;0;0;0;0;0;Bernardino De Campos;Marília;BERNARDINO DE CAMPOS;BERNARDINO DE CAMPOS;BERNARDINO DE CAMPOS;0,821428571;3;;4;815;1;15;235991008,68;2105219158769,04;29865,881158433;1149132;0;114;99,2053;0,4488;0,1227;21168,91;10775;11148;11148;2379,462281015;1149132;6;0;18;0;;68;0,285714286;61,714285714;0,6;53,285714286;0,142857143;55,857142857;0,857142857;Verde;0;0;0;0;6;0;6;0;808,4363;3,6575;4;929;1;1;0,113;0;0,144;0;0;0;0;0;SP;SP;SP;;;244,220308250
0,031154655;0,049015795;0,167509539;58115,8;3100,2;579142;9,156540024;6,946053281;2780;Vermelho;Vermelho;Baixar;View;1990,461;Verdadeiro;Bertioga;2020-05-17;Baixada Santista;Baixada Santista;Baixada Santista;4;Baixada Santista;21/05/2020;20/05/2020;97,21;129,046810578;622,343950749;77,1;SP;39467;0,098277425;40 a 60%;0%;mais de 60%;até 40%;2;9;0;24;0;0;0;1;0;0;Bertioga;Baixada Santista;BERTIOGA;BERTIOGA;BERTIOGA;1,216598554;1,909090909;;0;2459;1;185;1713626029,17;2105219158769,04;37750,378084365;1865397;0;1254;672,243;0,4511;0,3377;27093,33;47645;63249;63249;6215,948866727;1865397;2;10;25;0;;454,428571429;1,571428571;412,857142857;2,714285714;343,142857143;0,666666667;552,857142857;3;Vermelho;0;0;0;1;2;10;2;9;1990,461;1,3356;0;3713;1;1;0,585;0;0,772;0,1;0;;0;0,1;SP;SP;SP;;;490,124472791
0,025953421;0,023574807;0,170354262;20535,8;189,4;31120;3,873537466;4,549562895;295;Verde;Amarelo;Baixar;View;1004,7317;Verdadeiro;Bilac;2020-05-17;Araçatuba;Araçatuba;Araçatuba;2;Araçatuba;21/05/2020;20/05/2020;44,63;50,873640749;45,323838024;90,9;SP;18422;0,199974719;até 40%;0%;até 40%;0%;9;0;0;27;0;0;0;0;0;0;Bilac;Araçatuba;BILAC;BILAC;BILAC;0,815249267;0;;2;645;1;17;189550741,38;2105219158769,04;29841,217811907;791256;0;150;189,572;0,5085;0,1887;23593,57;7048;8034;8034;1606,596890406;791256;0;0;27;0;;48,714285714;0;47,571428571;0;41;0;39,714285714;0;Verde;0;0;0;0;9;0;9;0;1004,7317;2,6949;2;795;1;1;0,104;0;0,185;0;0;0;0;0;SP;SP;SP;;;157,920681156
0,025953421;0,015689351;0,170354262;20535,8;1939,8;318459;2,575737233;4,549562895;295;Verde;Amarelo;Baixar;View;1004,7317;Verdadeiro;Birigui;2020-05-17;Araçatuba;Araçatuba;Araçatuba;2;Araçatuba;21/05/2020;20/05/2020;204,79;232,873096351;45,323838024;97,6;SP;7134;0,157493371;até 40%;até 40%;até 40%;até 40%;11;5;10;97;42;4;77;4;72;3;Birigui;Araçatuba;BIRIGUI;Birigui;BIRIGUI;0,815249267;0,864864865;;2;645;1;17;3223445426,32;2105219158769,04;29841,217811907;791256;0;150;189,572;0,5085;0,1887;26071,64;108728;123638;123638;19472,165455874;791256;130;13;98;15;;48,714285714;5,285714286;47,571428571;5,428571429;41;2,142857143;39,714285714;4,571428571;Verde;1;4;1;0;16;6;53;9;1004,7317;2,6949;2;795;0,459459952;0,44;0,104;0,312;0,185;0,167;0,051;0,067;0,592;0,308;SP;SP;SP;;;530,924361541
0,025756592;0,055739463;0,153539025;26425,8;831,8;177805;11,914829458;4,394994303;279;Amarelo;Amarelo;Baixar;View;957,1318;Verdadeiro;Boa Esperança Do Sul;2020-05-17;Araraquara;Araraquara;Araraquara;3;Araraquara;21/05/2020;20/05/2020;19,75;21,599798461;104,691715575;96;SP;24494;0,132865244;até 40%;0%;até 40%;0%;3;0;0;11;6;0;0;0;0;0;Boa Esperança Do Sul;Araraquara;BOA ESPERANÇA DO SUL;BOA ESPERANÇA DO SUL;BOA ESPERANÇA DO SUL;1,530744337;9999;;0;875;1;11;370270669,84;2105219158769,04;35917,098575432;1025982;0;107;104,2903;0,3835;0,109;24812,08;13645;14923;14923;1982,748042128;1025982;0;0;11;0;;44,142857143;0;41,142857143;0;44,571428571;0;67,571428571;0,285714286;Amarelo;0;0;0;0;3;0;9;0;957,1318;3,5197;0;982;1;1;0,194;0;0,154;0;0;0;0;0;SP;SP;SP;;;690,886075949
0,027240322;0,025452186;0,161882936;49053,2;313,8;56769;12,615333333;4,682766602;916;Verde;Amarelo;Baixar;View;2237,3924;Verdadeiro;Bocaina;2020-05-17;Bauru;Bauru;Bauru;6;Bauru;21/05/2020;20/05/2020;29,84;12,365779538;57,907020110;95,2;SP;30014;0,173538740;até 40%;0%;40 a 60%;0%;6;0;0;22;12;0;12;0;12;0;Bocaina;Bauru;BOCAINA;BOCAINA;BOCAINA;0,989628349;0,428571429;;0;3401;1;49;84173715;2105219158769,04;31666,108516131;1800757;0;628;348,7422;0,6856;0,1559;18705,27;10859;12329;4500;780,924331672;1800757;30;0;22;0;;165,285714286;0,333333333;151,857142857;0,857142857;151,571428571;0,666666667;163,571428571;0,142857143;Verde;0;0;0;0;6;0;18;0;2237,3924;4,3985;0;4029;1;1;0,236;0;0,566;0;0;0;0,4;0;SP;SP;SP;;;363,907506702
0,030675447;0,026693116;0,140982697;77736,4;1628,2;245359;4,022476515;5,222555164;1086;Vermelho;Vermelho;Baixar;View;1366,1348;Verdadeiro;Boituva;2020-05-17;Sorocaba;Sorocaba;Sorocaba;16;Sorocaba;21/05/2020;20/05/2020;194,07;245,015684688;97,549694945;89;SP;37121;0,127186737;até 40%;40 a 60%;mais de 60%;0%;8;0;0;30;12;0;11;0;5;0;Boituva;Sorocaba;BOITUVA;BOITUVA;BOITUVA;1,265050167;1,0625;;0;2688;1;64;2840627240,15;2105219158769,04;37419,954465461;2534157;0;774;305,427;0,7127;0,2236;46569,95;48314;60997;60997;7758,009408055;2534157;31;0;30;0;;170,857142857;4,571428571;174;4;143,428571429;1,428571429;216,142857143;4,857142857;Vermelho;1;5;0;0;14;0;20;0;1366,1348;3,1878;0;3462;1;1;0,344;0,429;0,608;0;0,2;0;0,355;0;SP;SP;SP;;;248,951409285
0,025756592;0,024791225;0,153539025;26425,8;397,8;69043;13,118563557;4,394994303;279;Amarelo;Amarelo;Baixar;View;957,1318;Verdadeiro;Borborema;2020-05-17;Araraquara;Araraquara;Araraquara;3;Araraquara;21/05/2020;20/05/2020;26,31;9,530561635;104,691715575;92,4;SP;44159;0,136838249;até 40%;até 40%;até 40%;0%;4;0;0;14;12;0;3;0;1;0;Borborema;Araraquara;BORBOREMA;BORBOREMA;BORBOREMA;1,530744337;1,6;;0;875;1;11;136354172,41;2105219158769,04;35917,098575432;1025982;0;107;104,2903;0,3835;0,109;25908,07;14529;16046;5263;720,179703242;1025982;19;0;14;0;;44,142857143;0,714285714;41,142857143;0,142857143;44,571428571;0,571428571;67,571428571;1,142857143;Amarelo;0;2;0;0;6;0;16;0;957,1318;3,5197;0;982;1;1;0,194;0,333;0,154;0;0,143;0;0,158;0;SP;SP;SP;;;552,223489168
0,027240322;0,021614094;0,161882936;49053,2;3166,4;522723;3,568148153;4,682766602;916;Verde;Amarelo;Baixar;View;2237,3924;Verdadeiro;Botucatu;2020-05-17;Bauru;Bauru;Bauru;6;Bauru;21/05/2020;20/05/2020;85,88;98,809078600;57,907020110;95,8;SP;7126;0,167602808;até 40%;até 40%;40 a 60%;0%;21;7;12;119;1;0;110;3;107;3;Botucatu;Bauru;BOTUCATU;Botucatu;BOTUCATU;0,989628349;0,683890578;;0;3401;1;49;4409594859,28;2105219158769,04;31666,108516131;1800757;0;628;348,7422;0,6856;0,1559;30100,24;127328;146497;146497;24553,308523859;1800757;132;10;119;15;;165,285714286;47;151,857142857;37,571428571;151,571428571;47,857142857;163,571428571;32,142857143;Verde;1;2;0;0;24;7;22;7;2237,3924;4,3985;0;4029;0,445109154;0,41;0,236;0,125;0,566;0;0,025;0;0,833;0,3;SP;SP;SP;;;1482,626921286
0,022455310;0,021966230;0,142372429;104895,2;3705;521409;3,091333270;4,111431695;2555;Amarelo;Amarelo;Baixar;View;1135,4473;Verdadeiro;Bragança Paulista;2020-05-17;Campinas;Campinas;Campinas;7;Campinas;21/05/2020;20/05/2020;286,26;329,028114812;509,167159940;87,1;SP;7119;0,160263599;até 40%;até 40%;40 a 60%;até 40%;23;11;34;252;100;11;51;28;40;22;Bragança Paulista;Campinas;BRAGANÇA PAULISTA;Bragança Paulista;BRAGANÇA PAULISTA;1,183718372;0,994082840;;47;4504;1;144;5828106844,96;2105219158769,04;63821,804570422;4671287;4;800;171,259;0,3131;0,1508;34553,72;146744;168668;168668;27031,340713140;4671287;174;50;258;45;;519,428571429;24,142857143;461,571428571;20,285714286;395,428571429;19,857142857;614,857142857;24;Amarelo;4;7;5;1;34;17;123;22;1135,4473;2,0759;51;5304;0,448829470;0,43;0,357;0,324;0,58;0,353;0,043;0,133;0,293;0,56;SP;SP;SP;;;512,624886467
