date;n_mean;n_std;n_mean_ICU;n_std_ICU;n_mean_ICU_SUS;n_std_ICU_SUS;n_mean_ICU_PRIVATE;n_std_ICU_PRIVATE
2020-03-22;6.0;2.4001683442642268;0.0;2.4001683442642268;0.0;2.4001683442642268;0.0;2.8567422748775058
2020-03-23;7.0;2.5353261699195215;0.0;2.5353261699195215;0.0;2.5353261699195215;0.0;2.993861212180403
2020-03-24;6.999999999999999;2.5530334502273564;0.0;2.5530334502273564;0.0;2.5530334502273564;0.0;3.0118122863497243
2020-03-25;9.0;2.9232954974919263;0.0;2.9232954974919263;0.0;2.9232954974919263;0.0;3.3865841290522365
2020-03-26;12.0;3.368601304321239;0.09;3.3813273647304176;0.0;3.3813273647304176;0.09;3.848987154071207
2020-03-27;12.0;3.4015742047921087;0.13;3.419679381273494;0.0;3.419679381273494;0.13;3.8876582221152827
2020-03-28;12.000000000000002;3.389883940684862;0.13;3.407581713079399;0.0;3.407581713079399;0.13;3.8754605977086816
2020-03-29;12.0;3.3319694179299133;0.12;3.3493611632698266;0.0;3.3493611632698266;0.12;3.8167501051667023
2020-03-30;14.0;3.600701390708553;0.15;3.6203522625637556;0.0;3.6203522625637556;0.15;4.089902537666913
2020-03-31;19.0;4.143877070053741;0.48;4.196965233560696;0.0;4.196965233560696;0.48;4.670276480603465
2020-04-01;21.999999999999996;4.665281179612703;0.62;4.725658523935949;0.0;4.725658523935949;0.62;5.201683093844188
2020-04-02;22.0;4.6336712325011895;0.65;4.697234195876239;0.0;4.697234195876239;0.65;5.173127031765732
2020-04-03;23.999999999999996;4.716958444771055;0.72;4.784777630120022;0.0;4.784777630120022;0.72;5.26107162085986
2020-04-04;26.000000000000004;4.7778529474941775;0.9100000000000001;4.8608002209388115;0.0;4.8608002209388115;0.9100000000000001;5.337431873927536
2020-04-05;26.000000000000004;4.999555535800713;0.8700000000000001;5.076382132538444;0.0;5.076382132538444;0.8700000000000001;5.553920929225947
2020-04-06;52.0;6.9316140059348905;2.5500000000000003;7.528203737622377;1.5;7.554061921585732;1.0500000000000003;8.014231930555619
2020-04-07;52.0;6.957475450654832;2.74;7.568001350716347;1.55;7.593559405472802;1.1900000000000002;8.054079950554083
2020-04-08;54.99999999999999;7.245228314783002;2.85;7.98431524296166;1.54;8.004854146016024;1.31;8.470781784759064
2020-04-09;59.0;7.279846263222982;2.75;8.184151535964885;1.57;8.205207880586352;1.18;8.67095982254691
2020-04-10;61.0;7.463297399997408;2.73;8.354795937155805;1.58;8.375333733739518;1.15;8.841829498766343
2020-04-11;61.0;7.8643293908429825;2.9299999999999997;8.719729921218311;1.64;8.737510509234877;1.2899999999999998;9.207127695879144
2020-04-12;65.0;7.445220824885796;3.09;8.330272104399311;2.39;8.363691370043094;0.6999999999999997;8.81800003988299
2020-04-13;68.0;8.289777080260004;3.81;9.22488777955887;2.48;9.248143302601585;1.33;9.713222835292937
2020-04-14;69.0;7.9930778132890055;3.2;9.202554542137205;2.38;9.227275334626691;0.8200000000000003;9.690938315541835
2020-04-15;69.99999999999999;8.209848729520914;3.19;9.64583664834029;2.55;9.666936673345111;0.6400000000000001;10.13454988244716
2020-04-16;70.99999999999999;8.11442162965657;2.59;9.511942360777187;1.65;9.5270429554373;0.94;10.00020451941783
2020-04-17;75.00000000000001;8.318580881303486;3.51;9.77477287963689;2.48;9.797743865221465;1.0299999999999998;10.263719048849024
2020-04-18;75.00000000000001;8.362736007752101;3.1100000000000003;9.865238584202226;2.22;9.904268389095296;0.8900000000000001;10.355056770116118
2020-04-19;75.00000000000001;8.710356079420809;2.94;10.245177333060594;1.58;10.26095797603024;1.3599999999999999;10.734272987114164
2020-04-20;79.0;8.51194051395634;1.99;11.249235709167268;0.79;11.256607128278219;1.2;11.738905876131822
2020-04-21;81.0;8.717832646971727;1.4;11.41055961410617;0.77;11.418317332561342;0.6299999999999999;11.90038604582356
2020-04-22;81.00000000000001;8.352874059298694;1.5399999999999998;11.348261469663026;0.81;11.355040219384449;0.7299999999999998;11.837993014156702
2020-04-23;86.0;8.937866330699656;1.8000000000000003;11.803911053613382;0.83;11.809886373780916;0.9700000000000003;12.293990504933584
2020-04-24;90.0;9.024791891609949;1.94;11.99359315500058;0.8;12.000261529136637;1.14;12.483851100394196
2020-04-25;90.0;9.465247439497242;2.07;12.59658230864967;1.65;12.606402574033;0.41999999999999993;13.087409538660387
2020-04-26;100.0;9.638433168279684;2.25;12.472666397795907;1.55;12.486589088726637;0.7;12.963564176546269
2020-04-27;159.0;12.309863007878166;5.510000000000001;15.240420969026129;4.05;15.261649036494429;1.4600000000000009;15.73315226995613
2020-04-28;177.00000000000003;12.98019470368047;7.29;15.643862933263877;5.62;15.683942344791614;1.67;16.137360063515317
2020-04-29;199.99999999999997;13.4294038917924;8.43;16.162852627259365;6.35;16.203249829910817;2.08;16.65656191656657
2020-04-30;212.00000000000003;14.3566547410438;9.12;16.885762456500856;7.06;16.925878817283724;2.0599999999999996;17.37972533024206
2020-05-01;194.0;13.669268045103545;7.71;16.42289794060953;5.57;16.45833153049472;2.1399999999999997;16.91655722356566
2020-05-02;212.99999999999997;13.908706669281699;8.74;16.691371266240374;6.34;16.730997422373683;2.4000000000000004;17.18525158878532
2020-05-03;224.0;14.219115033054354;9.950000000000001;17.120392383165036;7.03;17.15450189756425;2.920000000000001;17.61426516352867
2020-05-04;241.00000000000003;14.867876020929735;10.650000000000002;17.60262391482783;7.97;17.653369896052954;2.6800000000000024;18.097119621169597
2020-05-05;243.00000000000003;15.596975878857306;10.5;18.29219130192615;7.71;18.345848648298137;2.79;18.786966526679095
2020-05-06;263.0;15.934994207844584;11.570000000000002;18.48533595730804;8.77;18.538196931054152;2.8000000000000025;18.980143371049643
2020-05-07;283.99999999999994;16.263101944232066;13.31;19.072090587922954;10.2;19.120790762778075;3.110000000000001;19.56694738983875
2020-05-08;285.00000000000006;16.771127185454983;12.41;19.53446891414189;9.66;19.57804575941061;2.75;20.02931655141998
2020-05-09;296.0;16.32202453277426;13.86;19.410074547497082;10.32;19.466602013176157;3.539999999999999;19.905215295308167
2020-05-10;297.0;17.21561424223294;13.369999999999997;20.225579538712054;10.35;20.278105623473994;3.019999999999998;20.72081497673877
2020-05-11;299.0;17.216934346242606;9.68;21.748378228170385;6.98;21.78787634340611;2.6999999999999993;22.243647000862104
2020-05-12;345.0;17.767709901715392;11.48;22.635533342445672;8.68;22.68005665109701;2.8000000000000007;23.131092199636115
2020-05-13;355.99999999999994;17.857262337262625;10.310000000000002;22.975273819275955;7.95;23.01674840351493;2.360000000000002;23.47083201495469
2020-05-14;381.99999999999994;19.27113820397663;12.7;24.68573885931517;9.61;24.72536355709058;3.09;25.181562036287456
2020-05-15;415.00000000000006;19.893001662683165;14.570000000000002;24.78885443178857;11.13;24.837479824660228;3.4400000000000013;25.284872629006145
2020-05-16;418.00000000000006;20.093689647159472;13.62;25.118058938709517;10.43;25.16032561093924;3.1899999999999995;25.614004186370867
2020-05-17;418.0;20.318360110396647;12.88;25.490421532391142;9.43;25.524629084454684;3.450000000000001;25.986269816644416
2020-05-18;474.00000000000006;20.73411768953857;14.74;26.247083147225595;11.1;26.288388572473853;3.6400000000000006;26.743181604099533
2020-05-19;480.0;21.244207766738764;16.89;27.094894725796966;12.9;27.136752204381793;3.99;27.591123072582636
2020-05-20;480.0;21.711892193594334;14.750000000000002;27.678634414116296;10.99;27.71347511645378;3.7600000000000016;28.17481638177535
2020-05-21;480.00000000000006;21.417367633853523;12.879999999999997;27.67251201485187;9.48;27.704828481911253;3.399999999999997;28.168648346948284
2020-05-22;571.0000000000001;23.389745659587707;20.45;29.560998107149715;15.7;29.62908383819704;4.75;30.057972202547298
2020-05-23;498.99999999999994;22.74898599138791;13.82;28.760957016150357;10.26;28.79835148901493;3.5600000000000005;29.257323868971053
2020-05-24;499.99999999999994;21.87724245360318;13.17;28.587434496839883;10.36;28.625370060684123;2.8100000000000005;29.08378897550653
2020-05-25;500.99999999999994;21.25032144736078;13.16;28.14539375988529;10.23;28.191847933382977;2.9299999999999997;28.641840685130084
2020-05-26;497.00000000000006;21.597516692266435;9.95;28.78440797418357;7.13;28.812761797929795;2.8199999999999994;29.280623357814168
2020-05-27;498.0;21.403303813696944;9.36;28.687374092503347;7.08;28.705034964675313;2.2799999999999994;29.183393690383365
2020-05-28;572.0;23.046680779441864;11.88;30.928751391322972;8.68;30.959090145323437;3.200000000000001;31.425256606296568
2020-05-29;607.0;23.64925949681036;13.35;31.778116525354204;10.47;31.81599896119859;2.879999999999999;32.27483057833439
2020-05-30;614.0;23.329129491438014;12.62;31.681451142027043;9.55;31.71122587451716;3.0699999999999985;32.178029342070715
2020-05-31;616.0000000000001;23.6384765955333;13.98;32.12139370160226;10.53;32.157627918323406;3.450000000000001;32.61811707091101
2020-06-01;659.0;25.857050696223475;11.87;34.07705983606431;8.82;34.09682693551861;3.049999999999999;34.573730403389014
2020-06-02;645.0;23.77713017148872;10.6;32.88351080447893;8.02;32.90691238673544;2.58;33.38011676455039
2020-06-03;649.0;23.95127208194659;11.45;33.271185686261575;8.62;33.29815906277248;2.83;33.767883499450626
2020-06-04;680.0;25.47848369336628;11.87;34.237419115300845;8.98;34.25522540688891;2.889999999999999;34.73407682785965
2020-06-05;688.0;25.76555919059473;6.93;35.749902691115715;4.82;35.76035713502093;2.1099999999999994;36.24659845501731
2020-06-06;698.9999999999999;25.360065640548513;12.350000000000001;35.01543649491311;9.67;35.04799413560344;2.6800000000000015;35.512375125650166
2020-06-07;698.9999999999999;25.260653318166696;14.559999999999999;34.40896022018601;11.02;34.443811395290496;3.539999999999999;34.90587851393564
2020-06-08;697.9999999999999;26.26485149857932;12.490000000000002;34.75778309758242;9.6;34.78596679493882;2.8900000000000023;35.25463732125924
2020-06-09;734.9999999999999;26.157923650339107;14.009999999999998;34.898555800630156;11.22;34.93108639836008;2.7899999999999974;35.3954839403003
2020-06-10;769.0;26.083831440688748;18.590000000000003;34.790972633251826;14.33;34.828621516902984;4.260000000000003;35.28796392942756
