date;n_mean;n_std;n_mean_ICU;n_std_ICU;n_mean_ICU_SUS;n_std_ICU_SUS;n_mean_ICU_PRIVATE;n_std_ICU_PRIVATE
2020-03-10;1.0;0.9673456340716984;0.0;0.9673456340716984;0.0;0.9673456340716984;0.0;1.3795300684759555
2020-03-11;2.0;1.3626326272211733;0.0;1.3626326272211733;0.0;1.3626326272211733;0.0;1.7942687379511606
2020-03-12;4.0;1.9189117286165673;0.0;1.9189117286165673;0.0;1.9189117286165673;0.0;2.366671491956328
2020-03-13;3.9999999999999996;1.9574772467942443;0.0;1.9574772467942443;0.0;1.9574772467942443;0.0;2.406074483159534
2020-03-16;8.0;2.7406406388125957;0.0;2.7406406388125957;0.0;2.7406406388125957;0.0;3.2018356844041373
2020-03-18;18.999999999999996;4.269057095524548;0.39;4.310933597824083;0.0;4.310933597824083;0.39;4.784880571411639
2020-03-19;31.0;5.3156715132110675;1.26;5.427187451743642;0.75;5.444434188817387;0.51;5.907520446446295
2020-03-20;42.99999999999999;6.384877968032488;2.06;6.5182257299564785;1.62;6.5378028929195064;0.43999999999999995;7.001790453847229
2020-03-21;69.00000000000001;8.205233609462839;4.26;8.417033835375653;3.02;8.46439948170327;1.2399999999999998;8.905664381030864
2020-03-22;77.00000000000001;8.530965580599522;4.87;8.779468875585456;3.18;8.82307620602779;1.69;9.268341272493236
2020-03-23;96.00000000000001;9.389258853508183;6.15;9.67087802726215;4.77;9.71097223856509;1.3800000000000008;10.16055382628068
2020-03-24;112.0;10.202990252911649;7.24;10.515541360339471;5.52;10.579518424815474;1.7200000000000006;11.007094463382494
2020-03-25;162.0;12.329442465705885;10.879999999999999;12.68591941938587;7.72;12.74418108452448;3.1599999999999993;13.178646842512931
2020-03-26;190.00000000000003;13.7038223673086;12.37;14.075242359360903;9.04;14.160185290975097;3.33;14.569579018136475
2020-03-27;197.00000000000003;13.723989171807109;12.35;14.082115565066164;9.39;14.150048720335867;2.959999999999999;14.575871415054902
2020-03-28;200.00000000000003;13.525815197897566;12.61;13.996283236789846;9.13;14.080093907515122;3.4799999999999986;14.49054996720137
2020-03-29;230.0;14.878932295787433;15.73;15.444110478912295;11.65;15.516702242578754;4.08;15.93854606692302
2020-03-30;254.00000000000003;15.533164259711924;17.14;16.092765737775128;13.37;16.194141196460805;3.7700000000000014;16.588286538620252
2020-03-31;304.99999999999994;16.719516207780124;21.52;17.46950867464032;16.48;17.578206203516142;5.039999999999999;17.96557651557137
2020-04-01;316.0;17.045885785790723;22.57;18.123586033317764;17.13;18.23286786841474;5.440000000000001;18.619807694374437
2020-04-02;386.0;19.61067530348167;27.189999999999998;20.925746091715574;20.57;21.03454181804181;6.619999999999997;21.42245063742688
2020-04-03;409.99999999999994;19.241758041438224;27.14;20.888717509505444;21.11;20.991341529114315;6.030000000000001;21.385272051602094
